cell_id,batch,cycle_life,log_var_dQ,min_dQ,slope_capacity_fade,resistance_cycle2,avg_charge_time_c1_5,discharge_capacity_c2,batch_indicator
cell_097,2,788,-0.37823434819970264,-0.09191617454046908,-0.09626894111825583,0.02051291273658008,16.256526200803926,1.0947928688812962,1
cell_098,2,667,-0.27704352694471596,-0.11806591656943788,-0.05592452053637273,0.020536603764033046,15.50634147299306,1.0948430176146187,1
cell_099,2,571,-0.22893897697710847,-0.12022836871163202,-0.04306297346661912,0.01586966321468675,12.832721866841432,1.0988526409402273,1
cell_100,2,265,-0.07908076494976465,-0.08731950009058037,-0.0229234910040191,0.023045163410723345,12.515360479535957,1.077516952745977,1
cell_101,2,506,-0.16143237959218548,-0.14007118332845098,-0.03635620866428293,0.016534832791524318,16.073733455988464,1.0948459748241304,1
cell_102,2,532,-0.16571762125488995,-0.0843592704816346,-0.019577883333061354,0.021708740130036264,11.898688653002532,1.077844230332643,1
cell_103,2,394,-0.18788548621565432,-0.09649726849367499,-0.025755114692963155,0.01960851237369307,14.250150146715619,1.0803261706764669,1
cell_104,2,598,-0.25822142423935585,-0.1639598329054467,-0.06368849869166357,0.016316630788767335,13.526190120534,1.1024964179660783,1
cell_105,2,864,-0.3783519111065554,-0.07470853805487829,-0.06372023148678665,0.01672967224738975,15.03246332972818,1.10428309879409,1
cell_106,2,2266,-0.8391510260990219,-0.31825970556063915,-0.14487873192596812,0.012,25.0,1.1182882357487411,1
cell_107,2,745,-0.2635490792397569,-0.08627598093093472,-0.07100450586681652,0.021174897115993862,16.786627903183213,1.0892753322410573,1
cell_108,2,786,-0.22450738087555833,-0.11514336651119811,-0.05555285056674206,0.01399955056021909,14.839294236262697,1.093244813644485,1
cell_109,2,633,-0.2275046743280037,-0.10733983707347966,-0.0499744849860012,0.0159993112825798,15.735296776508944,1.0987658574528383,1
cell_110,2,200,-0.025216764165516804,-0.041576578233361354,-0.00549116768176644,0.023918360158456872,12.89475143281203,1.06739039066484,1
cell_111,2,653,-0.19418054246939315,-0.12212936938510667,-0.050166317442069404,0.015916502848359382,13.643415189387607,1.103591528533329,1
cell_112,2,691,-0.2450144123085324,-0.11247497907882129,-0.056855224358043084,0.018149512278991493,16.862425708963997,1.0886595527178262,1
cell_113,2,2300,-0.7973103378447213,-0.3398682586611513,-0.19251744341148477,0.012,23.83320065745057,1.1212125137833653,1
cell_114,2,586,-0.10463950995411835,-0.1471582190665851,-0.05168307466242039,0.018260537883451652,17.1004668265306,1.0936855477651157,1
cell_115,2,809,-0.20060243684250922,-0.19164681119110916,-0.06271424601196111,0.018689261591246877,16.16842598391314,1.1068348037506537,1
cell_116,2,650,-0.2688830760080298,-0.08571957679443261,-0.019516528145711254,0.017774322879120685,14.581746217898843,1.107533844771177,1
cell_117,2,311,0.017515771658456997,-0.10300580081459805,-0.03318280225643786,0.021326430782278985,11.538324233448584,1.077033480535158,1
cell_118,2,1398,-0.5696312613401654,-0.24079392695312385,-0.11436027331080173,0.012,21.315750739221116,1.0979764595926123,1
cell_119,2,1084,-0.3006542081218733,-0.18649966532676526,-0.0894619556447865,0.015509638984333208,15.735916967656554,1.1055040974618404,1
cell_120,2,1112,-0.3758838233429555,-0.16866646207975555,-0.08662247034138273,0.01879060027982179,16.603390023623025,1.0969300304499818,1
cell_121,2,368,-0.17865124211398115,-0.11082431357480764,-0.041000806909597766,0.023698033062215105,15.970756371984782,1.0816525370625054,1
cell_122,2,1655,-0.6458384458483384,-0.2344575333084079,-0.1426833456642146,0.012,20.579384531276947,1.0979425588500276,1
cell_123,2,267,0.03035041610640493,-0.028163669807134355,-0.0325518303572658,0.021554596880128035,13.763798086087359,1.0886845678998702,1
